year,governorate_1,governorate_2,planned,joint_statement,unspecified_JO,gov_collaboration,affiliates,parent_group,operations_room,big_bomb,target_class,target_class2,target_class3,target_class4,claim_source,notes,ose_claim_id,ose_date,frenemie_id,claim_full_text,Compound_Claim,Subject_Full_Name,subject,Object_Full_Name,object ,Posting_Full_Name,posting,type1,type2,type3,Pos_Existing_Ties,Neg_Existing_Ties,Duplicate,Frenemy_Notes,Interesting_Flag,Coder_ID,Skip
2012,Latakia,NA,no,no,no,no,no,SIF,no,no,SGF,.,.,.,direct_quote,Defection of approximately 30 soldiers in the village of Al-Ya'qubiyyah. The defection was secured by the Ahrar al-Sham Brigades,GMP20121225836001,2012-12-25,4,"""the syrian islamic front - the ahrar al-sham brigades -¬†latakia and its countryside. urgent. defection of approximately 30 soldiers in the village of al-ya'qubiyyah. the defection was secured by the ahrar al-sham brigades.""",,soldiers,SGF,Ahrar al-sham Islamic Movement,ASIM,.,.,Defect_Pos,,,,,,,,ANS,.
2013,Aleppo,NA,no,yes,no,no,no,no,no,no,PKK,.,.,.,direct_quote,.,TRN2013071249820647,2013-07-12,6,"√¢¬†the al-tawhid brigade posted a message, claiming pkk had ""broken the truce"" and attacked checkpoints of the al-tawhid brigade and the islamic state in the levant, between dayr jamal town and kurdish abyan village. .",,al-Tawhid Brigade,ATB,Kurdistan Workers Party,PKK,al-Tawhid Brigade,ATB,Critique,,,,,,code on other side,,ANS,.
2013,Aleppo,NA,no,no,no,yes,no,ATB; FatahB,no,no,SGF,HIZ,.,.,parent_group,"""yes"" in frenemies because they are newly-merged (AS)",TRL2013092359568324,2013-09-23,7,"on 16 september, the al-tawhid brigade posted a√¢¬†youtube√¢¬†video, claiming the martyr umar isma'il battalion, an offshoot of the al-tawhid brigade's newly-merged group the al-fath brigade, sniped at syrian forces and hizballah members at the magharat al-artiq mountain on the shuwayhinah mountain in aleppo on 16 september.",,matyr umar isma'il battalion,MUIB,al-Fath brigade,FatahB,,,Merger,,,,,,,,ANS,.
2014,Deir ez-Zor,NA,no,no,no,no,no,no,no,no,ISIL,.,.,.,direct_quote,"ANF and ISIL ""breakup""?",TRN2014021544680166,2014-02-15,22,"on 9 february, twitter user ansar jabhat al-nusrah posted a tweet, in which the al-nusrah front claimed to have retained all headquarters, facilities, and laboratories belonging to the group from the islamic state of iraq and the levant in dayr al-zawr.",,Al-nusrah Front,ANF,ISIL,ISIL,Al-Nusrah Front,ANF,Weapon_Theft,,,,,,"ANF captures facilities of ISIL but they will later fight with/join ISIL. Would this count as a weapons_theft? Otherwise, not fremeies. Confused",yes,ANS,.
2014,Homs,NA,no,no,no,no,no,no,no,no,ANF,.,.,.,direct_quote,.,TRN2014071232137374,2014-07-12,32,"on 7 july, the isil claimed to have seized many weapons from a convoy of anti-isil forces, including al-nusrah front, in al-sharqiyah, homs. the attack took place on 4 july",,ISIL,ISIL,Al-Nusrah Front,ANF,ISIL,ISIL,Weapon_Theft,,,,Y,,weapons theft,,ANS,.
2014,Daraa,NA,no,yes,no,no,no,no,yes,no,.,.,.,.,direct_quote,jointstatement exception,TRN2014072528558950,2014-07-25,35,"on 20 july, the islamic front posted a message, announcing the formation of the operations room of ""fatah al-sham [conquering the levant]"" in dar'a governorate, in collaboration with ""other factions,"" and the launching of the two battles of ""al-mughirat subhan and the qat al-qatin [koranic verses].""",,.,.,Fatah al-Sham,FSOR,Islamic Front,IF,JOR,,,,,,IF launches operations room. The first one reported in this data. ,,ANS,.
2015,Rif Damashq,NA,no,no,no,no,no,no,no,no,.,.,.,.,direct_quote,A convoluted quazi pro-social statement in which AASG appears to acknolwedge the legitimacy of the Islamic judiciary but refuses to acknowledge their request to disarm.,TRR2015042970643802,2015-04-29,56,"/at 1804 gmt on 29 april, twitter user ""‚Äômuzamjir al-sham"" tweeted an embedded image of ajnad al-sham islamic union's official statement regarding an islamic court's decision ordering the ahrar al-sham islamic movement to surrender its weapons and facilities east of damascus. below is a translation of the statement./
 
 
 ""[logo bearing the words:] there is no god but god and muhammad is his messenger -- ajnad al-sham islamic union ""in the name of god, the merciful, the compassionate, ""'the believers are but a single brotherhood: so make peace and reconciliation between your two brothers; and fear allah, that ye may receive mercy,' [koranic verse, al-hujurat, 49:10]. ""we in the ajnad al-sham islamic union affirm that the islamic court has jurisdiction over disputes and we regard the preservation of its powers and independence as a religious necessity. we laud our brothers in the ahrar al-sham movement for their compliance, despite having reservations, with the court's decision ordering them to surrender their weapons and the sites under their control. the decision will have negative repercussions on the revolution and we appreciate their [ahrar al-sham's] right to appeal the decision within a timeline until a final decision in the case is made so that the war effort does not regress in eastern al ghutah area of damascus . ""the ajnad al-sham islamic union affirms that the ahrar al-sham movement in eastern al ghutah ranks among the original revolutionary factions and is one of the founders of eastern al ghutah's united military leadership. by no means should it be regarded as a newly formed faction in eastern al ghutah, despite having been marketed as such. we affirm that ahrar al-sham are our brothers. we began the war together and, god willing, we will triumph over al-asad's gang together. ""we in the ajnad al-sham islamic union have stood and continue to stand on common ground with other revolutionary factions. we will spare no effort and will go to any length to achieve unity. the ajnad al-sham islamic union ""in jihad...there is only victory or martyrdom ""7 rajab 1436 [corresponding to] 29 april 2015""",,Ajnad al-sham,AASG,Ahrar al-sham,ASIM,Ajnad al-sham,AASG,Gen_Pos,,,,,,"For an unstated reason AASG has been ordered by an islamic court to surrender it's weapons and facilites east of damascus. 
AASG complies with the request with this statemen although they state their reservation in this statement including that it is bad for the revolution, that AASG was one of the original revolutionary groups. confused",,ANS,.
2015,Aleppo,NA,yes,no,no,no,no,no,no,no,YPG,.,.,.,direct_quote,assuming YPK is a typo,TRN2015050246596878,2015-05-02,57,"at 1015 gmt on 2 may, twitter user ""muzamjir al-sham"" tweeted ""ahrar al-sham [islamic movement], al-nusrah front, al-sham corps, and [nur al-din] al-zanki [movement] commit to make the assaulting kurdish ypk militias pay for their actions in aleppo."" the tweet includes an embedded image of a statement to that effect, signed and bearing the official stamps of 15 factions. as of 0900 gmt on 4 may, the tweet had been retweeted 86 times, generating 94 favorites. below is a translation of the statement, which was mentioned in the previously released ""syria: isil, armed groups infighting update 2-4 ma//y"" / ""statement in support of the people of the shaykh maqsud neighborhood ""in response to the appeal for help by the people in the shaykh maqsud neighborhood of different kurdish and arab ethnicities, and to maintain their rights and dignity against repeated attacks by the ypk [alternative abbreviation for ypg, people's protection units, armed wing of the kurdish supreme committee] and asayish [kurdish intelligence services] forces, arab and kurdish dignitaries of aleppo convened and decided to take all the legitimate actions needed to help the oppressed people and to repel aggression either by peaceful means or by war. 'and soon will the unjust assailants know what vicissitudes their affairs will take! [partial koranic verse, al-shu'ara, 26:227]'"" the statement ends with signatures of representatives of the groups and their seals. they include abu-imarah battalions, ahrar al-sham islamic movement, al-safwah battalions, first regiment, al-nusrah front, ahrar syria, nur al-din zanki movement, kurdish front, 16th regiment, al-fajr movement [fajr al-sham islamic movement], the levantine front, al-sham corps, and other factions whose names are indistinct.",,"abu-imarah battalions; 
ahrar al-sham islamic movement;
al-safwah battalions;
first regiment;
al-nusrah front;
ahrar syria;
nur al-din zanki movement;
kurdish front;
16th regiment;
al-fajr movement;
the levantine front;
al-sham corps",,YPG,YPG,,,Critique,,,,,,A statement signed by over a dozen fractions condemns the actions of YPG against civilians and agrees to defend the civilians in shaykh maqsud.,,ANS,.
2015,Damascus,NA,no,no,no,no,no,no,no,no,.,.,.,.,news_general,.,TRR2015050477314128,2015-05-04,59,"on 2 may, the ""yarmouk camp news"" facebook page posted an update claiming that ""all mediation attempts failed"" between ""the da'ish and al-nusrah [front] gangs on one hand and militants of bayt saham, yalda, and babila [on the other]"" to end fighting ""south of #alyarmuk_camp and al-hajar al-aswad."" it notes that ""a few days ago"" an official from jaysh al-islam met with an al-nusrah front official named ""bilal khadr sulayman, aka abu-sulayman"" but they ""did not reach an agreement,"" which the update claims, is because ""the al-nusrah [front] gang demanded the return of its headquarters in bayt saham and babila to stop the fighting, but the militants from these towns refused."" the update concludes that there is ""renewed talked"" of a visit ""soon"" by a palestinian authority ""delegation"" to al yarmuk camp",,ISIL,ISIL,Al-Nusrah Front,ANF,,,Negotiations,,,,Y,,failed talks between ISIL and ANF. notable person: bilal khadr sulayman,,ANS,.
NA,Idlib,,,no,,no,,,NA,no,.,.,.,.,.,ANF is accused of theft but they were fold falsely that what they stole belonged to Hazm implying that they thought they were stealing it back for them,TRR2015050477314128,2015-05-04,60,"/screenshot from video of pro-regime palestinian fighters battling isil
 
 in al yarmuk camp. top-left: vanguard for the popular liberation war --
 
 al-sa'iqah forces logo./
 
 
 
 additionally, twitter user ""muzamjir al-sham"" tweeted
 
 an embedded image of a statement attributed to the 101 infantry division
 
 of free syrian army accusing al-nusrah front of attacking its
 
 ""headquarters"" and stealing its ""property"" in the village of harabnush.
 
 the statement indicates that defecting members of the division told
 
 al-nusrah front, falsely, that the division was an ""agent of the regime""
 
 and possessed weapons which previously belonged to hazm movement
 
 prompting al-nusrah front to ""send a [military] convoy"" which ""raided""
 
 the village and clashed with the division's fighters. it also accuses
 
 al-nusrah front of ""raiding the home"" of ibrahim dabbas. the statement
 
 then calls for al-nusrah front to return the division's property and
 
 asks that jaysh al-fath and ahrar al-sham islamic movement intervene
 
 between the two parties.",,Al-Nusrah Front,ANF,101st infantry,101st,101st infantry,101st,Weapon_Theft,,,,,,"This statement shows the roles of several groups. the 101st shares that FSA accuses ANF of attacking and stealing from them. It becomes clear later in the claim that they share this because the 101 also blames ANF for stealing from them. 
It also includes details that members of the 101 defected and went to ANF to say that the 101 are ""agents of the regime"" (the statement says this is false)
This is the first example of sewn susspicion between groups and is interesting because the actors and motivations are so clear. 
the 101 also calls on JAF and ASIM to intervene between the two parties. ",yes,ANS,.
